TicketId,Description,Vocabulary
1,Job re-run,"{'re-run', 'job'}"
2,Job Re-Run,"{'re-run', 'job'}"
3,the job failed due to row count mismatch between source file and the ODS table. We have requested the source team to place the source files again. The job completed after placing the source file in the source path.,"{'between', 'table', 'place', 'files', 'job', 'path', '.', 'failed', 'due', 'the', 'after', 'team', 'completed', 'we', 'placing', 'to', 'file', 'ods', 'have', 'row', 'again', 'count', 'source', 'in', 'mismatch', 'and', 'requested'}"
4,Job got failed due to name pipe error. Then job was re-started and completed successfully.,"{'to', 'got', 'name', 'job', 'pipe', 'then', '.', 're-started', 'failed', 'and', 'successfully', 'error', 'completed', 'due', 'was'}"
5,Job got failed due to duplicate issue. Then issue was fixed and job was re-started once the issue fixed.,"{'issue', 'to', 'the', 'got', 'job', 'then', '.', 're-started', 'failed', 'duplicate', 'and', 'fixed', 'once', 'due', 'was'}"
6,On re-run job completed successfully.,"{'on', 'job', 'successfully', '.', 'completed', 're-run'}"
7,Job got failed due to file unavailability. Then issue was fixed and job was re started,"{'issue', 'to', 'started', 're', 'got', 'file', 'job', 'then', '.', 'failed', 'and', 'unavailability', 'fixed', 'due', 'was'}"
8,The job ran successfully on rerun,"{'on', 'the', 'successfully', 'ran', 'job', 'rerun'}"
9,Job got failed due to tdata connectivity issue. Then issue has been fixed and job was re-started.,"{'issue', 'connectivity', 'to', 'has', 'got', 'job', 'then', '.', 're-started', 'failed', 'and', 'fixed', 'been', 'tdata', 'due', 'was'}"
10,the job failed due to hadoop database issue.,"{'hadoop', 'issue', 'to', 'the', 'database', 'job', '.', 'failed', 'due'}"
11,The job abended due to duplicate data issue. The issue was fixed manually and the job was restarted and completed successfully.,"{'abended', 'issue', 'to', 'the', 'completed', 'data', 'manually', 'job', 'successfully', 'restarted', '.', 'and', 'duplicate', 'fixed', 'due', 'was'}"
12,"The job abended as the source files are not available in the source path. We have requested the source team to place the file and restarted the job, it got completed successfully.","{'place', 'not', 'files', 'got', 'available', 'job', 'path', '.', 'the', 'team', 'restarted', 'completed', ',', 'we', 'to', 'file', 'successfully', 'as', 'it', 'have', 'abended', 'source', 'are', 'in', 'and', 'requested'}"
13,The job executed successfully on re-run,"{'on', 'the', 'successfully', 'job', 'executed', 're-run'}"
14,"There was an issue with TD upgrade, fix was later provided by DBA after which jobs are rerun  and completed successfully","{'td', 'which', 'by', 'jobs', 'provided', 'there', 'was', 'after', 'dba', 'upgrade', 'completed', ',', 'rerun', 'issue', 'an', 'later', 'successfully', 'fix', 'with', 'are', 'and'}"
15,Named pipe error. Lock released and job is re-run.,"{'released', 'pipe', 'job', '.', 'is', 'and', 'error', 'named', 'lock', 're-run'}"
16,JOb got failed due to data duplicate issue. Then issue was fixed and job was restarted.,"{'issue', 'to', 'got', 'data', 'job', 'then', '.', 'restarted', 'failed', 'duplicate', 'and', 'fixed', 'due', 'was'}"
17,Job has been re-run successfully.,"{'has', 'successfully', 'job', '.', 'been', 're-run'}"
18,no source file,"{'no', 'source', 'file'}"
