TicketId,Description
1,Job re-run
2,Job Re-Run
3,the job failed due to row count mismatch between source file and the ODS table. We have requested the source team to place the source files again. The job completed after placing the source file in the source path.
4,Job got failed due to name pipe error. Then job was re-started and completed successfully.
5,Job got failed due to duplicate issue. Then issue was fixed and job was re-started once the issue fixed.
6,On re-run job completed successfully.
7,Job got failed due to file unavailability. Then issue was fixed and job was re started
8,The job ran successfully on rerun
9,Job got failed due to tdata connectivity issue. Then issue has been fixed and job was re-started.
10,the job failed due to hadoop database issue.
11,The job abended due to duplicate data issue. The issue was fixed manually and the job was restarted and completed successfully.
12,"The job abended as the source files are not available in the source path. We have requested the source team to place the file and restarted the job, it got completed successfully."
13,The job executed successfully on re-run
14,"There was an issue with TD upgrade, fix was later provided by DBA after which jobs are rerun  and completed successfully"
15,Named pipe error. Lock released and job is re-run.
16,JOb got failed due to data duplicate issue. Then issue was fixed and job was restarted.
17,Job has been re-run successfully.
18,no source file
19,JOb schedules were kept on hold as the schedules were didnt run for past few days due to file unavailaility. Hence received deadline alert for the same.
20,Job got failed due to connectivity issue. Then issue was fixed and job was re started
21,Completed on re-run.
22,Self-lock. Job completed by running the query manually.
23,"There was an issue with TD upgrade, Fix was later provided by TD team after which job has been rerun and completed successfully."
24,The job abended due to Database Login Time out issue as there was load in the TD box. We have reexecuted the job after the load was reduced and the job got completed successfully. 
25,Job got abended due to connectivity issue. Then job has been re-executed and completed successfully.
26,"
The job failed due to log in time out error.We have re-executed the job and completed successfully."
27,Job got failed due to source unavailability. Then Job was cancelled for the day.
28,Source file issue. Job completed after receiving the file.
29,Source file issue. Job completed after receiving the file.
30,The job has been completed successfully on re-run
31,Job got failed due to tdata connectivity issue. Then issue has been fixed and job was re-started.
32,"
The job failed due to duplicate records .We have re-executed the job after deleteing the invalid records and the job completed successfully."
33,Collect stats failed. Done manually.
34,the job was killed as it hanged for long time. the job was cancelled for the day.
35,schedule triggered wrongly. so the job are killed manually. 
36,Self-lock occured. Job completed after manually running the query.
37,"There was an issue with the TD upgrade happened, fix was later provide by DBA after which job has been rerun and completed successfully"
38,Stats failed due to format issue. Manually run stats.
39,The job failed due to duplicate .We have re-executed the job after deleteing the invalid records and the job completed successfully.
40,Job got failed due to login time out. Then job was re-started.
41,Job abended as the oraacle source database was down. The job will be restarted once the Oracle server is restarted.
42,"Source file unavailable , job completed successfully after receiving the updated file."
43,On re-run job completed successfully.
44,source file not available.
45,rerun was successful
46,completed successfully on re-running
47,The job failed due to duplicate .We have re-executed the job after deleteing the invalid records and the job completed successfully.
48,JOb got failed due to connectivity issue. Then job was re-started and completed successfully.
49,The job Abended after running for long time. The next day's backup batch have covered all the backlogs.
50,Source file not available. Job completed once the file is available.
51,Completed on re-run.
52,The job has been ran successfully on rerun
53,Job got failed due to data issue. Then issue was fixed and job was re-started and completed successfully.
54,JOb was failed due to null value issue. Then issue was fixed and job was restarted.
55,Source file issue. Job completed after receiving the file.
56,Job was marked as completed.
57,Duplicates found. completed on re-run
58,Job got abended due to duplicate issue. Then issue has been fixed and job  has been re-executed and completed successfully.
59,Source file not available.
60,Job got failed due to file unavailability. Then job has been re started once the file have been placed in the path.
61,Batch Issues. Jobs were re-run successfully.
62,Failed due to login time out issue and on re-running job got completed successfully.
63,Job got failed due to file unavailability. Then job was re started once the file was placed in the path.
64,Confirmed at backend
65,Job got failed due to tdata connectivity issue. Then issue has been fixed and job was re-started.
66,Self-lock. Job completed by running the query manually.
67,"Triggered wrongly , due to isue with the job"
68,JOb got failed due to connectivity issue. Then job was restarted and completed successfully.
69,JOb got failed due to file unavailability. Then job was re-started.
70,Source file not available. Job re-run once the file is available.
71,No source file.
72,Named pipe error. Lock released and job re-run successfully.
73,Job got trigerred wrongly. Hence Job was aborted and cancelled
74,Job got failed due to name pipe error. THen job was restarted and completed.
75,brj issue. Job re-run once brj is up and completed successfully.
76,Self-lock occured. Job completed by running the query manually.
77,"Batch entry was not there , updated the entry to R status f, the job completed successfully."
78,rerun of the job was successful
79,JOb got failed due to file unavailability. Then issue was fixed and job was restarted.
80,Job executed successfully at back end.
81,cancelled the job
82,"self lock occurred , completed the job by running the script"
83,On rerun job was completed successfully.
84,JOb got failed due to data duplicate issue. Then issue was fixed and job was restarted.
85,The batch completed successfully on re-run
86,"
The job failed due to tbload.It completed successfulll after releasing the tbload."
87,JOb got failed due to process state failure. Then issue was fixed and job was re-started.
88,No source file
89,Self-lock occured. Job was killed and completed successfully by running the query manually.
90,Completed on re-run
91,The job abended due to dupllicate/NULL/Invalid Format issue. The issue was fixed and the job was restarted and completed successfully.
92,JOb got failed due to connectivity issue. Then issue was fixed and job was re-started.
93,Job got failed due to tdata outage. Then job was re-started once the outage has been compelted.
94,The job failed due to log in time out error.We have re-executed the job and completed successfully.
95,JOb got failed due to connectivity issue. Then issue was fixed and job was re-started.
96,The job was killed manually as the job was hanged
97,Job got failed due to duplicate issue. Then issue has been fixed and job has been re-started
98,Job got failed due to tdata connectivity issue. Then issue has been fixed and job was re-started.
99,Job completed successfully by running the query manually.
100,Job got failed due to file unailability. Then issue was fixed and job was re-started
101,Source file not available.
102,brj issue. completed on re-run
103,The job got abended with PIPE ERROR due to database connection Time out. The job was restarted and completed successfully.
104,The job got abended with PIPE error due to database connection time out.
105,Successful on re- run
106,"
The job failed due to duplicate .We have re-executed the job after deleteing the invalid records and the job completed successfully."
107,The job completed on rerun
108,On re-run job completed successfully.
109,Job got failed due to duplicate issue. Then issue has been fixed and job was restarted.
110,The job abended due to the duplicate/NULL/Invalid data format issues. The issue is fixed and the job was restarted and completed successfully
111,"self lock occurred , on rerun the job completed successfully"
112,The job failed due to tbload.It completed successfulll after releasing the tbload.
113,Job got failed due to connectivity issue. Then  job has been re-executed and completed successfully.
114,JOb got failed due to low disk space. Then issue was fixed and job was re-started.
115,Job got failed due to data issue. Then issue was fixed and job was re started
116,JOb got failed due to name pipe error  and job was re-started and completed
117,Job Abended due to Data Issues (i.e. Duplicates/NULL Values/Invalid Data Format). The issue was fixed and the job was restarted and completed successfully.
118,Job got failed due to file unavailability. Then job has been re started once the file have been placed in the path.
119,Confirmed at backend
120,The job ran successfully on re-run
121,the jobs failed due to null values which has been completed after re-execution.
122,"There were issues in TD upgrade happened over the weekend, later fixed by the TD team after which the jobs were re processed and completed successfully."
123,Named pipe error. Lock released and job is re-run.
124,Source file issue.
125,Job got failed due to  incorrect stream closure. Then issue was fixed and JOb was restarted and completed
126,JOb got failed due to tdata Outage. Then JOb was re started once the outage was over.
127,Job got failed due to data value issue. Then issue has been fixed and job has been re-started.
128,on rerun the job completed successfully.
129,JOb got failed due to data duplicate issue. Then issue was fixed and job was restarted.
130,job confirmed at backend 
131,"
The job failed due to log in time out error.We have re-executed the job and completed successfully."
132,Wrongly triggered
133,JOb got failed due to login timeeout. then job was re-started and completed
134,"There were issues in TD upgrade happened over the weekend, later fixed by the TD team after which the jobs were re processed and completed successfully."
135,Job got abended due to existence of bad character. Then issue has been fixed and job has been re-executed and completed successfully.
136,"There were issues in TD upgrade happened over the weekend, later fixed by the TD team after which the jobs were re processed and completed successfully."
137,Job got abended due to duplicate issue. Then issue has been fixed and job has been re-executed and completed successfully
138,re run was successfull
139,JOb got failed due to file unavailability. Then issue was fixed and job was restarted.
140,The job abended due to tbload issue. the issue was fixed and the job was reran and completed successfully.
141,Source file not available. Job re-run once the file is avaialble.
142,self lock. script executed
143,on rerun the job completed successfully.
144,Self-lock occured. Job was killed and completed successfully by running the query manually.
145,The job abended due to Database Login Time out issue as there was load in the TD box. We have reexecuted the job after the load was reduced and the job got completed successfully. 
146,The job got abended with PIPE error due to database connection time out.
147,the job completed Succefully on rerun
148,Job got failed due to source unavailability. Then Job was cancelled for the day.
149,Job got failed due to file unavailability. Then job has been re started once the file have been placed in the path.
150,schedule triggered wrongly. so the job are killed manually. 
151,The job failed due to log in time out error.We have re-executed the job and completed successfully.
152,No source file.
153,the job failed due to row count mismatch between source file and the ODS table. We have requested the source team to place the source files again. The job completed after placing the source file in the source path.
154,Job got failed due to name pipe error. Then job was re-started and completed successfully.
155,job executed successfully on rerunning
156,JOb got failed due to data duplicate issue. Then issue was fixed and job was restarted.
157,Login timed out error. completed on re-run
158,Job got failed due to count mismatch. Then issue has been fixed and job has been re started
159,rerun was successful
160,JOb got failed due to data issue. Then issue was fixed and job was restarted and completed successfully.
161,JOb got failed due to connectivity issue. Then job was restarted and completed successfully.
162,Job got failed due to file unavailability. Then job was re started once the file was placed in the path.
163,JOb got failed due to connectivity issue. Then issue was fixed and job was re-started.
164,Job got failed due to login time out. Then job was re-started.
165,Job re-run once the source file is available.
166,"scheduls was held due to performance issues in the batches, will be run in enxt day's load"
167,JOb got failed due to connectivity issue. Then job was re-started and completed successfully.
168,The job has been cancelled
169,Job got failed due to connectivity issue. Then  job has been re-executed and completed successfully.
170,Source file issue. Job completed after receiving the file.
171,The job failed due to TD upgrade issue.It completed successfully after the issue is resolved.
172,Job got failed due to count mismatch. Then issue has been fixed and job has been re started
173,JOb got failed due to data duplicate issue. Then issue was fixed and job was restarted.
174,rerun was successful
175,JOb got failed due to name pipe error  and job was re-started and completed
176,The job has been completed succesfully on re-run
177,The job completed successfully on re-executing the job
178,Job got failed due to count mismatch. Then issue has been fixed and job was re started.
179,self lock. script executed.
180,Job got failed due to connectivity issue. Then issue was fixed and job was re started
181,Job got failed due to connectivity issue. Job was re started and completed successfully.
182,The job got abended with PIPE ERROR due to database connection Time out. The job was restarted and completed successfully.
183,Job got failed due to connectivity issue. Then issue was fixed and job was re-executed and completed successfully.
184,completed on re-run
185,the job failed due to hadoop database issue.
186,"There were issues in TD upgrade happened over the weekend, later fixed by the TD team after which the jobs were re processed and completed successfully."
187,the job failed due to hadoop database issue.
188,The job failed due to log in time out error.We have re-executed the job and completed successfully.
189,The job has completed successfully on re-run
190,"
The job failed due to duplicate .We have re-executed the job after deleteing the invalid records and the job completed successfully."
191,JOb got failed due to connectivity  issue. Then job was re-started.
192,Job got failed due to connectivity issue. Job was re started and completed successfully.
193,Source file issue. Job completed after receiving the file.
194,Batch Issues. Jobs were re-run successfully.
195,Job got failed due to file unavailability. Then issue was fixed and job was restarted.
196,Source file not available. Job re-run once the file is avaialble.
197,Self-lock occured. Job completed by manually running the query.
198,The job completed successfully on re-executing the job
199,The job abended due to duplicate data issue. The issue was fixed and the job was restarted and completed successfully.
200,Job has been re-run successfully.
201,Job completed successfully by running the query manually.
202,The job got abended with PIPE ERROR due to database connection Time out. The job was restarted and completed successfully.
203,Job got failed due to connectivity issue. Then job was re-started
204,Job got failed due to source unavailability. Then Job was cancelled for the day.
205,"The job abended as the source files are not available in the source path. We have requested the source team to place the file and restarted the job, it got completed successfully."
206,"There were issues in TD upgrade happened over the weekend, later fixed by the TD team after which the jobs were re processed and completed successfully."
207,Source file not available. Job re-run once the file is available.
208,completed on re-run
209,Job got failed due to connectivity issue. Then job was re-started
210,The job ran successfully on re-run
211,self lock. script executed.
212,Job got failed due to tdata connecitivity issuee. Then job was re-started and completed successfully.
213,Job got failed due to null value issue. Then issue was fixed and job was re-started and completed successfully.
214,JOb got failed due to tdata Outage. Then JOb was re started once the outage was over.
215,JOb got failed due to duplicate issue. Then issue was fixed and job was re-started.
216,rerun was successful
217,Self lock. script executed.
218,The job got abended with PIPE ERROR due to database connection Time out. The job was restarted and completed successfully.
219,JOb got failed due to connectivity issue. Then job was restarted and completed successfully.
220,On re-run job completed successfully.
221,"source file not available, contacted the source team for the same"
222,The job failed due to null values in not null field.We have re-executed the job after deleting the invalid records and completed successfully.
